epoch, iters, G_GAN, G_L1, D_real, D_fake
1, 100, 1.381, 18.721, 0.806, 0.309
1, 200, 2.388, 21.278, 0.13, 0.26
1, 300, 1.963, 20.221, 0.538, 0.396
1, 400, 2.948, 22.235, 0.057, 0.114
1, 500, 2.327, 19.966, 0.144, 0.343
1, 600, 2.005, 19.528, 0.235, 0.266
1, 700, 2.345, 23.447, 0.02, 0.408
1, 800, 2.093, 19.821, 2.884, 0.093
1, 900, 0.921, 19.578, 0.751, 0.696
1, 1000, 1.464, 12.843, 0.389, 0.361
1, 1100, 1.173, 17.114, 0.471, 0.141
1, 1200, 2.183, 18.525, 0.059, 0.146
1, 1300, 1.544, 15.849, 0.467, 0.302
1, 1400, 0.972, 11.624, 0.898, 0.143
1, 1500, 1.572, 22.478, 0.662, 0.42
1, 1600, 2.635, 20.956, 0.039, 0.221
1, 1700, 1.835, 23.647, 0.036, 1.023
1, 1800, 0.682, 16.884, 1.482, 1.102
1, 1900, 2.575, 33.681, 0.024, 0.204
1, 2000, 0.542, 16.757, 1.36, 0.403
1, 2100, 1.933, 25.772, 0.002, 0.598
1, 2200, 0.683, 21.122, 1.365, 0.57
1, 2300, 1.362, 26.868, 0.003, 0.598
1, 2400, 2.665, 25.022, 0.167, 0.107
1, 2500, 1.156, 18.446, 0.342, 0.708
1, 2600, 3.563, 21.668, 0.086, 0.081
1, 2700, 2.759, 23.946, 0.024, 0.63
1, 2800, 2.228, 28.951, 0.002, 0.387
1, 2900, 1.478, 27.638, 0.16, 0.493
2, 25, 1.221, 20.196, 1.462, 0.233
2, 125, 1.596, 33.8, 0.001, 0.738
2, 225, 1.407, 18.025, 0.275, 0.277
2, 325, 1.989, 25.489, 0.017, 0.361
2, 425, 1.944, 20.402, 0.013, 0.265
2, 525, 2.236, 21.28, 0.125, 0.247
2, 625, 2.265, 23.584, 0.186, 0.276
2, 725, 1.57, 26.51, 0.026, 0.497
2, 825, 1.35, 20.315, 0.636, 0.178
2, 925, 0.744, 18.326, 0.988, 0.389
2, 1025, 1.251, 12.407, 0.898, 0.392
