epoch, iters, G_GAN, G_L1, D_real, D_fake
1, 100, 1.903, 41.941, 0.285, 0.318
1, 200, 2.465, 29.492, 0.492, 0.083
1, 300, 3.433, 33.858, 0.092, 0.094
1, 400, 2.936, 47.675, 0.072, 0.081
2, 100, 4.618, 48.685, 0.129, 0.012
2, 200, 2.405, 44.989, 0.038, 0.303
2, 300, 3.54, 31.856, 0.094, 0.075
2, 400, 1.922, 34.642, 0.067, 0.47
3, 100, 3.67, 44.57, 0.003, 0.146
3, 200, 3.209, 38.664, 0.041, 0.735
3, 300, 4.055, 45.195, 0.009, 0.419
3, 400, 2.053, 36.916, 0.261, 0.104
4, 100, 1.89, 28.787, 1.578, 0.042
4, 200, 3.243, 41.397, 0.143, 0.068
4, 300, 2.634, 34.975, 0.043, 0.213
4, 400, 3.708, 42.075, 0.009, 0.039
5, 100, 2.732, 36.738, 0.037, 0.152
5, 200, 3.774, 45.053, 0.022, 0.052
5, 300, 1.777, 26.616, 0.3, 0.283
5, 400, 1.995, 30.505, 1.639, 0.035
6, 100, 1.222, 35.098, 1.04, 0.135
6, 200, 3.496, 40.41, 0.019, 0.045
6, 300, 3.121, 31.724, 0.715, 0.029
6, 400, 2.634, 30.908, 0.079, 0.144
7, 100, 3.665, 36.171, 0.005, 0.034
7, 200, 2.39, 37.41, 0.016, 0.161
7, 300, 2.183, 35.379, 0.07, 0.37
7, 400, 2.132, 36.967, 0.126, 0.15
8, 100, 3.077, 37.402, 0.007, 0.089
8, 200, 1.645, 31.141, 0.948, 0.138
8, 300, 1.511, 48.241, 0.0, 0.75
8, 400, 3.343, 37.452, 0.003, 0.06
9, 100, 2.774, 46.33, 0.0, 0.082
9, 200, 2.102, 29.192, 0.192, 0.152
9, 300, 2.804, 40.921, 0.0, 0.086
9, 400, 1.182, 42.744, 0.0, 1.256
10, 100, 0.867, 28.595, 0.213, 0.603
10, 200, 1.895, 39.889, 0.008, 0.187
10, 300, 0.868, 27.023, 0.071, 0.594
10, 400, 0.727, 38.617, 0.002, 0.754
