epoch, iters, G_GAN, G_L1, D_real, D_fake
1, 100, 2.316, 34.486, 0.375, 0.502
1, 200, 2.574, 43.941, 0.091, 0.244
1, 300, 2.963, 36.621, 0.027, 0.135
1, 400, 2.152, 25.252, 0.274, 0.261
2, 100, 2.641, 32.478, 0.086, 0.193
2, 200, 4.715, 43.337, 0.124, 0.01
2, 300, 2.726, 48.519, 0.007, 0.269
2, 400, 3.222, 34.118, 0.233, 0.065
3, 100, 3.173, 43.926, 0.153, 0.226
3, 200, 4.457, 41.94, 0.01, 0.038
3, 300, 3.899, 35.078, 0.018, 0.033
3, 400, 3.004, 31.366, 0.112, 0.199
4, 100, 4.452, 38.541, 0.016, 0.022
4, 200, 2.353, 40.284, 0.213, 0.351
4, 300, 2.126, 28.245, 0.044, 0.45
4, 400, 2.018, 27.311, 0.278, 0.285
5, 100, 2.443, 32.393, 0.037, 0.324
5, 200, 2.47, 25.555, 0.273, 0.34
5, 300, 4.035, 37.794, 0.016, 0.092
5, 400, 1.301, 26.227, 0.386, 0.287
6, 100, 3.081, 29.597, 0.207, 0.024
6, 200, 2.868, 31.758, 1.968, 0.02
6, 300, 2.998, 35.331, 0.008, 0.267
6, 400, 2.208, 38.532, 0.018, 0.505
7, 100, 3.332, 37.91, 0.022, 0.06
7, 200, 3.877, 38.554, 0.059, 0.019
7, 300, 1.554, 29.268, 1.134, 0.225
7, 400, 2.978, 51.682, 0.004, 0.274
8, 100, 3.325, 44.989, 0.006, 0.081
8, 200, 3.437, 45.735, 0.157, 0.047
8, 300, 3.909, 38.135, 0.325, 0.035
8, 400, 2.087, 37.821, 0.109, 0.124
9, 100, 2.263, 43.995, 0.001, 0.612
9, 200, 3.315, 44.633, 0.315, 0.036
9, 300, 3.85, 42.794, 0.0, 0.132
9, 400, 2.531, 41.676, 0.019, 0.476
10, 100, 4.005, 40.247, 0.008, 0.052
10, 200, 2.585, 37.707, 0.282, 0.146
10, 300, 3.057, 37.864, 0.303, 0.09
10, 400, 1.426, 33.306, 0.682, 0.166
11, 100, 1.406, 36.925, 0.693, 0.154
11, 200, 2.555, 34.957, 0.1, 0.136
11, 300, 3.773, 36.964, 0.017, 0.045
11, 400, 3.474, 32.595, 0.039, 0.062
12, 100, 2.994, 43.396, 0.0, 0.166
12, 200, 1.243, 31.104, 0.809, 0.364
12, 300, 1.989, 23.86, 0.75, 0.096
12, 400, 4.229, 37.229, 0.035, 0.018
13, 100, 1.735, 36.982, 0.007, 0.259
13, 200, 2.822, 29.615, 0.571, 0.045
13, 300, 2.024, 25.348, 0.104, 0.762
13, 400, 1.865, 39.248, 0.028, 0.345
14, 100, 2.235, 32.653, 0.001, 1.397
14, 200, 0.55, 28.685, 1.583, 0.164
14, 300, 0.782, 24.632, 0.86, 0.336
14, 400, 2.962, 35.258, 0.005, 0.488
15, 100, 3.168, 38.219, 0.038, 0.098
15, 200, 2.292, 38.802, 0.014, 1.286
15, 300, 2.026, 32.433, 0.265, 0.173
15, 400, 2.313, 29.244, 0.255, 0.132
16, 100, 1.346, 29.476, 0.496, 0.308
16, 200, 3.825, 30.657, 0.086, 0.038
16, 300, 2.277, 27.903, 0.084, 0.91
16, 400, 2.017, 31.248, 0.205, 0.113
17, 100, 3.273, 53.258, 0.001, 0.071
17, 200, 1.987, 33.967, 0.166, 1.398
17, 300, 0.96, 26.71, 1.205, 0.319
17, 400, 1.817, 23.643, 0.216, 0.409
18, 100, 2.785, 34.523, 0.194, 0.056
18, 200, 2.938, 36.96, 0.007, 0.186
18, 300, 1.607, 31.001, 0.055, 0.224
18, 400, 1.876, 30.495, 0.132, 1.2
19, 100, 1.245, 25.738, 0.473, 0.261
19, 200, 1.236, 31.303, 1.14, 0.28
19, 300, 1.28, 28.832, 0.775, 0.14
19, 400, 0.879, 24.365, 1.153, 0.412
20, 100, 2.534, 41.251, 0.001, 0.224
20, 200, 2.146, 29.133, 0.101, 0.166
20, 300, 2.775, 34.785, 0.034, 0.112
20, 400, 2.156, 39.141, 0.062, 0.821
21, 100, 2.496, 25.523, 0.053, 0.416
21, 200, 2.534, 29.935, 0.015, 0.215
21, 300, 2.853, 37.515, 0.119, 0.047
21, 400, 2.28, 31.179, 0.389, 0.146
22, 100, 1.135, 28.859, 1.027, 0.503
22, 200, 2.066, 28.864, 0.008, 0.763
22, 300, 2.22, 30.325, 0.014, 0.85
22, 400, 1.999, 38.774, 0.057, 0.218
23, 100, 2.057, 33.886, 0.023, 0.848
23, 200, 2.685, 34.221, 0.119, 0.183
23, 300, 1.289, 28.854, 0.474, 0.154
23, 400, 1.22, 29.346, 0.575, 0.466
24, 100, 1.614, 24.358, 0.487, 0.112
24, 200, 1.885, 41.917, 0.26, 0.145
24, 300, 2.646, 27.934, 0.353, 0.061
24, 400, 2.977, 38.659, 0.004, 0.098
25, 100, 3.554, 39.672, 0.103, 0.041
25, 200, 1.842, 36.559, 0.009, 0.287
25, 300, 1.484, 26.517, 0.945, 0.093
25, 400, 1.804, 26.75, 0.06, 0.291
26, 100, 0.983, 26.383, 1.421, 0.264
26, 200, 2.476, 24.714, 0.138, 0.136
26, 300, 2.136, 46.748, 0.016, 0.632
26, 400, 2.274, 34.234, 0.083, 0.159
27, 100, 2.236, 42.865, 0.001, 0.293
27, 200, 2.464, 25.501, 2.657, 0.01
27, 300, 3.09, 37.111, 0.066, 0.171
27, 400, 2.825, 39.307, 0.076, 0.087
28, 100, 1.734, 29.346, 0.331, 0.492
28, 200, 3.101, 32.824, 0.391, 0.024
28, 300, 2.024, 32.837, 0.031, 0.298
28, 400, 2.535, 40.038, 0.003, 0.248
29, 100, 3.789, 29.371, 0.579, 0.006
29, 200, 2.29, 24.691, 0.26, 0.088
29, 300, 2.312, 36.214, 0.005, 0.335
29, 400, 2.58, 43.328, 0.0, 0.164
30, 100, 2.697, 40.182, 0.012, 0.167
30, 200, 1.301, 26.173, 0.599, 0.723
30, 300, 1.188, 27.115, 0.848, 0.082
30, 400, 1.008, 22.829, 0.341, 1.961
31, 100, 2.534, 37.728, 0.018, 0.457
31, 200, 2.246, 30.17, 0.135, 0.224
31, 300, 0.594, 26.116, 3.091, 0.152
31, 400, 3.214, 37.89, 0.038, 0.062
32, 100, 3.157, 26.175, 0.016, 0.079
32, 200, 1.63, 24.901, 1.956, 0.049
32, 300, 3.86, 31.639, 0.068, 0.039
32, 400, 2.203, 56.118, 0.001, 0.381
33, 100, 3.226, 35.405, 0.032, 0.058
33, 200, 3.121, 34.708, 0.015, 0.161
33, 300, 2.559, 34.145, 0.044, 0.259
33, 400, 2.732, 31.615, 0.047, 0.157
34, 100, 4.522, 36.222, 2.161, 0.003
34, 200, 2.24, 33.456, 0.52, 0.131
34, 300, 0.831, 24.141, 2.314, 0.088
34, 400, 2.78, 31.775, 0.002, 0.261
35, 100, 2.587, 28.444, 0.404, 0.157
35, 200, 2.191, 36.788, 0.004, 0.182
35, 300, 0.461, 23.783, 1.227, 0.282
35, 400, 0.71, 24.861, 2.834, 0.095
36, 100, 2.025, 23.924, 0.329, 0.154
36, 200, 2.415, 34.776, 0.02, 0.268
36, 300, 2.932, 32.263, 0.798, 0.032
36, 400, 3.715, 33.054, 0.036, 0.041
37, 100, 3.244, 32.295, 0.048, 0.099
37, 200, 2.207, 24.8, 0.011, 0.271
37, 300, 3.257, 32.643, 0.02, 0.643
